variant,min_stratum_improvement_pct,all_strata_mean_nonworse,both_walk_and_probes_improved
baseline,0.0,True,False
previous_best,-4.794424524272989,False,True
J,-5.818956814240206,False,True
S,0.2852113148916535,True,False
O,-0.25701870043308706,False,False
JS,-3.5429006705412824,False,True
JO,-5.1438711161164274,False,True
SO,-0.6865256846178003,False,False
JSO,-2.644841524257613,False,True
insert80,-12.358603585331295,False,False
insert200,-9.96232829750452,False,False
insert400,-8.430274215542365,False,False
aligned,-1.3458347100989254,False,True
doptimal,-0.6342820080433631,False,False
bracket,-4.278949907059926,False,False
optical2,0.0,True,False
optical4,0.1766357672702945,True,True
short_clear,0.15099165142469229,True,True
JSO_p50,-1.9426157944550049,False,True
JSO_p85,-4.021114513966806,False,True
JSO_r120,-2.5721930864250453,False,True
JSO_r160,-2.6170617377979433,False,True
JSO_compact,-0.6512395774905366,False,True
JSO_outer1980,-4.378807663059603,False,True
S_doptimal,0.8661307872705915,True,False
SO_doptimal,-0.24537387914875808,False,False
S_dopt_short,0.9637255190019678,True,False
JSO_compact_dopt,-0.5863045192444405,False,True
